destino_nombre,parada_cercana,tipo_transporte_codigo,distancia_parada_km,costo_traslado_local_q,tiempo_traslado_minutos
Reserva de Biosfera Sierra de las Minas,Estación Central de Autobús extraurbano cerca de Reserva de Biosfera Sierra de las Minas - Ref 644,EXTRAURBANO,7.38,14.06,30
Museo de Paleontología y Arqueología de Estanzuela,Estación Central de Lancha colectiva cerca de Museo de Paleontología y Arqueología de Estanzuela - Ref 645,LANCHA,14.88,23.36,57
Volcán y Laguna de Ipala,Estación Central de Microbús / Fletero cerca de Volcán y Laguna de Ipala - Ref 646,FLETERO,4.36,47.21,19
Lago de Güija,Estación Central de Shuttle turístico cerca de Lago de Güija - Ref 647,SHUTTLE,14.83,37.0,73
Volcán Suchitán,Estación Central de Taxi local cerca de Volcán Suchitán - Ref 648,TAXI,4.42,24.7,20
Playa Blanca,Estación Central de Tuc-tuc cerca de Playa Blanca - Ref 649,TUC_TUC,2.91,43.14,11
Laguna Lachuá,Estación Central de Autobús extraurbano cerca de Laguna Lachuá - Ref 650,EXTRAURBANO,3.73,10.91,11
Antigua Guatemala,Estación Central de Lancha colectiva cerca de Antigua Guatemala - Ref 651,LANCHA,13.91,32.45,47
Parque Nacional Tikal,Estación Central de Microbús / Fletero cerca de Parque Nacional Tikal - Ref 652,FLETERO,6.36,8.17,23
Parque Nacional Yaxhá-Nakum-Naranjo,Estación Central de Shuttle turístico cerca de Parque Nacional Yaxhá-Nakum-Naranjo - Ref 653,SHUTTLE,2.47,9.11,10
Sitio arqueológico El Mirador,Estación Central de Taxi local cerca de Sitio arqueológico El Mirador - Ref 654,TAXI,7.57,10.71,30
Uaxactún,Estación Central de Tuc-tuc cerca de Uaxactún - Ref 655,TUC_TUC,5.62,26.55,18
Lago de Atitlán,Estación Central de Autobús extraurbano cerca de Lago de Atitlán - Ref 656,EXTRAURBANO,5.24,6.03,21
Panajachel,Estación Central de Lancha colectiva cerca de Panajachel - Ref 657,LANCHA,1.78,21.11,7
San Juan La Laguna,Estación Central de Microbús / Fletero cerca de San Juan La Laguna - Ref 658,FLETERO,6.49,17.57,23
Chichicastenango,Estación Central de Shuttle turístico cerca de Chichicastenango - Ref 659,SHUTTLE,10.06,8.26,40
Iximché,Estación Central de Taxi local cerca de Iximché - Ref 660,TAXI,9.48,47.74,32
Parque Arqueológico Quiriguá,Estación Central de Tuc-tuc cerca de Parque Arqueológico Quiriguá - Ref 661,TUC_TUC,10.85,34.85,40
Río Dulce,Estación Central de Autobús extraurbano cerca de Río Dulce - Ref 662,EXTRAURBANO,8.36,44.2,39
Castillo de San Felipe de Lara,Estación Central de Lancha colectiva cerca de Castillo de San Felipe de Lara - Ref 663,LANCHA,1.62,31.52,5
Livingston,Estación Central de Microbús / Fletero cerca de Livingston - Ref 664,FLETERO,14.94,39.95,59
Semuc Champey,Estación Central de Shuttle turístico cerca de Semuc Champey - Ref 665,SHUTTLE,10.97,49.35,52
Cuevas de Candelaria,Estación Central de Taxi local cerca de Cuevas de Candelaria - Ref 666,TAXI,11.6,25.67,56
Biotopo del Quetzal Mario Dary Rivera,Estación Central de Tuc-tuc cerca de Biotopo del Quetzal Mario Dary Rivera - Ref 667,TUC_TUC,10.36,13.46,26
Cobán,Estación Central de Autobús extraurbano cerca de Cobán - Ref 668,EXTRAURBANO,3.16,8.66,15
Esquipulas,Estación Central de Lancha colectiva cerca de Esquipulas - Ref 669,LANCHA,9.22,28.65,36
Basílica del Cristo Negro de Esquipulas,Estación Central de Microbús / Fletero cerca de Basílica del Cristo Negro de Esquipulas - Ref 670,FLETERO,9.62,17.54,46
Volcán de Pacaya,Estación Central de Shuttle turístico cerca de Volcán de Pacaya - Ref 671,SHUTTLE,7.54,27.29,29
Monterrico,Estación Central de Taxi local cerca de Monterrico - Ref 672,TAXI,12.28,27.63,58
Parque Nacional Sipacate-Naranjo,Estación Central de Tuc-tuc cerca de Parque Nacional Sipacate-Naranjo - Ref 673,TUC_TUC,1.54,32.91,5
Parque Arqueológico Nacional Tak’alik Ab’aj,Estación Central de Autobús extraurbano cerca de Parque Arqueológico Nacional Tak’alik Ab’aj - Ref 674,EXTRAURBANO,5.64,45.18,20
Parques Xetulul y Xocomil,Estación Central de Lancha colectiva cerca de Parques Xetulul y Xocomil - Ref 675,LANCHA,3.29,20.36,16
Puerto San José,Estación Central de Microbús / Fletero cerca de Puerto San José - Ref 676,FLETERO,2.65,25.82,9
Playa Tilapa,Estación Central de Shuttle turístico cerca de Playa Tilapa - Ref 677,SHUTTLE,7.3,19.07,19
Fuentes Georginas,Estación Central de Taxi local cerca de Fuentes Georginas - Ref 678,TAXI,0.89,21.5,2
Centro Histórico de Quetzaltenango,Estación Central de Tuc-tuc cerca de Centro Histórico de Quetzaltenango - Ref 679,TUC_TUC,14.39,40.98,49
Volcán Tajumulco,Estación Central de Autobús extraurbano cerca de Volcán Tajumulco - Ref 680,EXTRAURBANO,5.15,16.51,18
Laguna Brava,Estación Central de Lancha colectiva cerca de Laguna Brava - Ref 681,LANCHA,1.42,37.64,7
Cenotes de Candelaria,Estación Central de Microbús / Fletero cerca de Cenotes de Candelaria - Ref 682,FLETERO,3.08,6.83,10
Todos Santos Cuchumatán,Estación Central de Shuttle turístico cerca de Todos Santos Cuchumatán - Ref 683,SHUTTLE,9.25,7.37,24
Nebaj,Estación Central de Taxi local cerca de Nebaj - Ref 684,TAXI,1.6,21.74,5
Museo Nacional de Arqueología y Etnología,Estación Central de Tuc-tuc cerca de Museo Nacional de Arqueología y Etnología - Ref 685,TUC_TUC,14.95,40.95,56
Kaminaljuyú,Estación Central de Autobús extraurbano cerca de Kaminaljuyú - Ref 686,EXTRAURBANO,14.41,21.83,70
Zoológico La Aurora,Estación Central de Lancha colectiva cerca de Zoológico La Aurora - Ref 687,LANCHA,11.61,17.18,32
Centro Histórico de la Ciudad de Guatemala,Estación Central de Microbús / Fletero cerca de Centro Histórico de la Ciudad de Guatemala - Ref 688,FLETERO,3.12,38.28,9
Mixco Viejo,Estación Central de Shuttle turístico cerca de Mixco Viejo - Ref 689,SHUTTLE,6.79,34.42,33
Volcán Acatenango,Estación Central de Taxi local cerca de Volcán Acatenango - Ref 690,TAXI,13.12,22.92,49
Volcán de Agua,Estación Central de Tuc-tuc cerca de Volcán de Agua - Ref 691,TUC_TUC,11.6,5.55,55
Hobbitenango,Estación Central de Autobús extraurbano cerca de Hobbitenango - Ref 692,EXTRAURBANO,3.92,35.9,14
Museo Miraflores,Estación Central de Lancha colectiva cerca de Museo Miraflores - Ref 693,LANCHA,2.23,17.36,9
Reserva de Biosfera Sierra de las Minas,Estación Central de Microbús / Fletero cerca de Reserva de Biosfera Sierra de las Minas - Ref 694,FLETERO,13.01,47.62,40
Museo de Paleontología y Arqueología de Estanzuela,Estación Central de Shuttle turístico cerca de Museo de Paleontología y Arqueología de Estanzuela - Ref 695,SHUTTLE,14.88,33.54,71
Volcán y Laguna de Ipala,Estación Central de Taxi local cerca de Volcán y Laguna de Ipala - Ref 696,TAXI,6.04,19.39,19
Lago de Güija,Estación Central de Tuc-tuc cerca de Lago de Güija - Ref 697,TUC_TUC,1.75,47.65,5
Volcán Suchitán,Estación Central de Autobús extraurbano cerca de Volcán Suchitán - Ref 698,EXTRAURBANO,4.94,39.87,16
Playa Blanca,Estación Central de Lancha colectiva cerca de Playa Blanca - Ref 699,LANCHA,7.94,41.78,34
Laguna Lachuá,Estación Central de Microbús / Fletero cerca de Laguna Lachuá - Ref 700,FLETERO,2.26,36.08,10
Antigua Guatemala,Estación Central de Shuttle turístico cerca de Antigua Guatemala - Ref 701,SHUTTLE,12.25,21.91,53
Parque Nacional Tikal,Estación Central de Taxi local cerca de Parque Nacional Tikal - Ref 702,TAXI,14.24,21.43,55
Parque Nacional Yaxhá-Nakum-Naranjo,Estación Central de Tuc-tuc cerca de Parque Nacional Yaxhá-Nakum-Naranjo - Ref 703,TUC_TUC,10.15,35.0,50
Sitio arqueológico El Mirador,Estación Central de Autobús extraurbano cerca de Sitio arqueológico El Mirador - Ref 704,EXTRAURBANO,1.01,8.98,4
Uaxactún,Estación Central de Lancha colectiva cerca de Uaxactún - Ref 705,LANCHA,2.48,40.73,9
Lago de Atitlán,Estación Central de Microbús / Fletero cerca de Lago de Atitlán - Ref 706,FLETERO,14.32,13.95,69
Panajachel,Estación Central de Shuttle turístico cerca de Panajachel - Ref 707,SHUTTLE,2.07,39.86,5
San Juan La Laguna,Estación Central de Taxi local cerca de San Juan La Laguna - Ref 708,TAXI,6.71,36.3,25
Chichicastenango,Estación Central de Tuc-tuc cerca de Chichicastenango - Ref 709,TUC_TUC,3.66,21.61,16
Iximché,Estación Central de Autobús extraurbano cerca de Iximché - Ref 710,EXTRAURBANO,8.16,26.93,29
Parque Arqueológico Quiriguá,Estación Central de Lancha colectiva cerca de Parque Arqueológico Quiriguá - Ref 711,LANCHA,13.61,36.37,38
Río Dulce,Estación Central de Microbús / Fletero cerca de Río Dulce - Ref 712,FLETERO,11.16,10.2,50
Castillo de San Felipe de Lara,Estación Central de Shuttle turístico cerca de Castillo de San Felipe de Lara - Ref 713,SHUTTLE,7.81,35.96,25
Livingston,Estación Central de Taxi local cerca de Livingston - Ref 714,TAXI,4.13,5.37,14
Semuc Champey,Estación Central de Tuc-tuc cerca de Semuc Champey - Ref 715,TUC_TUC,13.69,48.57,47
Cuevas de Candelaria,Estación Central de Autobús extraurbano cerca de Cuevas de Candelaria - Ref 716,EXTRAURBANO,11.49,25.39,35
Biotopo del Quetzal Mario Dary Rivera,Estación Central de Lancha colectiva cerca de Biotopo del Quetzal Mario Dary Rivera - Ref 717,LANCHA,4.3,30.04,14
Cobán,Estación Central de Microbús / Fletero cerca de Cobán - Ref 718,FLETERO,12.16,49.13,32
Esquipulas,Estación Central de Shuttle turístico cerca de Esquipulas - Ref 719,SHUTTLE,2.28,45.75,9
Basílica del Cristo Negro de Esquipulas,Estación Central de Taxi local cerca de Basílica del Cristo Negro de Esquipulas - Ref 720,TAXI,9.07,17.85,32
Volcán de Pacaya,Estación Central de Tuc-tuc cerca de Volcán de Pacaya - Ref 721,TUC_TUC,8.28,15.82,28
Monterrico,Estación Central de Autobús extraurbano cerca de Monterrico - Ref 722,EXTRAURBANO,13.44,37.7,42
Parque Nacional Sipacate-Naranjo,Estación Central de Lancha colectiva cerca de Parque Nacional Sipacate-Naranjo - Ref 723,LANCHA,11.33,31.24,36
Parque Arqueológico Nacional Tak’alik Ab’aj,Estación Central de Microbús / Fletero cerca de Parque Arqueológico Nacional Tak’alik Ab’aj - Ref 724,FLETERO,13.44,17.25,39
Parques Xetulul y Xocomil,Estación Central de Shuttle turístico cerca de Parques Xetulul y Xocomil - Ref 725,SHUTTLE,3.6,32.34,13
Puerto San José,Estación Central de Taxi local cerca de Puerto San José - Ref 726,TAXI,1.15,27.91,5
Playa Tilapa,Estación Central de Tuc-tuc cerca de Playa Tilapa - Ref 727,TUC_TUC,0.85,37.31,2
Fuentes Georginas,Estación Central de Autobús extraurbano cerca de Fuentes Georginas - Ref 728,EXTRAURBANO,13.13,24.67,61
Centro Histórico de Quetzaltenango,Estación Central de Lancha colectiva cerca de Centro Histórico de Quetzaltenango - Ref 729,LANCHA,1.87,20.86,8
Volcán Tajumulco,Estación Central de Microbús / Fletero cerca de Volcán Tajumulco - Ref 730,FLETERO,7.22,42.69,32
Laguna Brava,Estación Central de Shuttle turístico cerca de Laguna Brava - Ref 731,SHUTTLE,3.09,36.34,13
Cenotes de Candelaria,Estación Central de Taxi local cerca de Cenotes de Candelaria - Ref 732,TAXI,13.95,26.72,53
Todos Santos Cuchumatán,Estación Central de Tuc-tuc cerca de Todos Santos Cuchumatán - Ref 733,TUC_TUC,14.24,8.44,60
Nebaj,Estación Central de Autobús extraurbano cerca de Nebaj - Ref 734,EXTRAURBANO,1.82,14.79,7
Museo Nacional de Arqueología y Etnología,Estación Central de Lancha colectiva cerca de Museo Nacional de Arqueología y Etnología - Ref 735,LANCHA,9.89,19.34,28
Kaminaljuyú,Estación Central de Microbús / Fletero cerca de Kaminaljuyú - Ref 736,FLETERO,4.84,39.1,16
Zoológico La Aurora,Estación Central de Shuttle turístico cerca de Zoológico La Aurora - Ref 737,SHUTTLE,8.01,48.66,33
Centro Histórico de la Ciudad de Guatemala,Estación Central de Taxi local cerca de Centro Histórico de la Ciudad de Guatemala - Ref 738,TAXI,8.25,39.85,35
Mixco Viejo,Estación Central de Tuc-tuc cerca de Mixco Viejo - Ref 739,TUC_TUC,8.29,38.91,36
Volcán Acatenango,Estación Central de Autobús extraurbano cerca de Volcán Acatenango - Ref 740,EXTRAURBANO,14.24,16.58,39
Volcán de Agua,Estación Central de Lancha colectiva cerca de Volcán de Agua - Ref 741,LANCHA,7.46,10.48,23
Hobbitenango,Estación Central de Microbús / Fletero cerca de Hobbitenango - Ref 742,FLETERO,6.11,19.21,30
Museo Miraflores,Estación Central de Shuttle turístico cerca de Museo Miraflores - Ref 743,SHUTTLE,9.0,9.92,30
Reserva de Biosfera Sierra de las Minas,Estación Central de Taxi local cerca de Reserva de Biosfera Sierra de las Minas - Ref 744,TAXI,10.63,42.75,29
Museo de Paleontología y Arqueología de Estanzuela,Estación Central de Tuc-tuc cerca de Museo de Paleontología y Arqueología de Estanzuela - Ref 745,TUC_TUC,12.75,6.47,59
Volcán y Laguna de Ipala,Estación Central de Autobús extraurbano cerca de Volcán y Laguna de Ipala - Ref 746,EXTRAURBANO,5.02,17.93,18
Lago de Güija,Estación Central de Lancha colectiva cerca de Lago de Güija - Ref 747,LANCHA,10.35,41.49,32
Volcán Suchitán,Estación Central de Microbús / Fletero cerca de Volcán Suchitán - Ref 748,FLETERO,4.17,23.68,10
Playa Blanca,Estación Central de Shuttle turístico cerca de Playa Blanca - Ref 749,SHUTTLE,8.33,30.04,22
Laguna Lachuá,Estación Central de Taxi local cerca de Laguna Lachuá - Ref 750,TAXI,6.82,47.79,22
Antigua Guatemala,Estación Central de Tuc-tuc cerca de Antigua Guatemala - Ref 751,TUC_TUC,13.38,35.42,53
Parque Nacional Tikal,Estación Central de Autobús extraurbano cerca de Parque Nacional Tikal - Ref 752,EXTRAURBANO,4.74,24.98,23
Parque Nacional Yaxhá-Nakum-Naranjo,Estación Central de Lancha colectiva cerca de Parque Nacional Yaxhá-Nakum-Naranjo - Ref 753,LANCHA,8.9,13.75,27
Sitio arqueológico El Mirador,Estación Central de Microbús / Fletero cerca de Sitio arqueológico El Mirador - Ref 754,FLETERO,10.98,17.71,48
Uaxactún,Estación Central de Shuttle turístico cerca de Uaxactún - Ref 755,SHUTTLE,2.49,5.49,10
Lago de Atitlán,Estación Central de Taxi local cerca de Lago de Atitlán - Ref 756,TAXI,12.87,16.18,37
Panajachel,Estación Central de Tuc-tuc cerca de Panajachel - Ref 757,TUC_TUC,13.84,39.71,37
San Juan La Laguna,Estación Central de Autobús extraurbano cerca de San Juan La Laguna - Ref 758,EXTRAURBANO,13.43,6.81,63
Chichicastenango,Estación Central de Lancha colectiva cerca de Chichicastenango - Ref 759,LANCHA,1.28,22.19,5
Iximché,Estación Central de Microbús / Fletero cerca de Iximché - Ref 760,FLETERO,13.0,14.97,59
Parque Arqueológico Quiriguá,Estación Central de Shuttle turístico cerca de Parque Arqueológico Quiriguá - Ref 761,SHUTTLE,9.88,31.95,46
Río Dulce,Estación Central de Taxi local cerca de Río Dulce - Ref 762,TAXI,4.28,30.51,18
Castillo de San Felipe de Lara,Estación Central de Tuc-tuc cerca de Castillo de San Felipe de Lara - Ref 763,TUC_TUC,7.79,42.72,36
Livingston,Estación Central de Autobús extraurbano cerca de Livingston - Ref 764,EXTRAURBANO,12.64,40.1,36
Semuc Champey,Estación Central de Lancha colectiva cerca de Semuc Champey - Ref 765,LANCHA,13.28,26.02,46
Cuevas de Candelaria,Estación Central de Microbús / Fletero cerca de Cuevas de Candelaria - Ref 766,FLETERO,6.92,26.49,24
Biotopo del Quetzal Mario Dary Rivera,Estación Central de Shuttle turístico cerca de Biotopo del Quetzal Mario Dary Rivera - Ref 767,SHUTTLE,12.34,7.31,60
Cobán,Estación Central de Taxi local cerca de Cobán - Ref 768,TAXI,4.8,15.77,23
Esquipulas,Estación Central de Tuc-tuc cerca de Esquipulas - Ref 769,TUC_TUC,4.14,23.4,16
Basílica del Cristo Negro de Esquipulas,Estación Central de Autobús extraurbano cerca de Basílica del Cristo Negro de Esquipulas - Ref 770,EXTRAURBANO,5.65,26.09,28
Volcán de Pacaya,Estación Central de Lancha colectiva cerca de Volcán de Pacaya - Ref 771,LANCHA,9.9,45.03,38
Monterrico,Estación Central de Microbús / Fletero cerca de Monterrico - Ref 772,FLETERO,13.66,28.17,45
Parque Nacional Sipacate-Naranjo,Estación Central de Shuttle turístico cerca de Parque Nacional Sipacate-Naranjo - Ref 773,SHUTTLE,14.57,16.85,37
Parque Arqueológico Nacional Tak’alik Ab’aj,Estación Central de Taxi local cerca de Parque Arqueológico Nacional Tak’alik Ab’aj - Ref 774,TAXI,6.35,40.3,20
Parques Xetulul y Xocomil,Estación Central de Tuc-tuc cerca de Parques Xetulul y Xocomil - Ref 775,TUC_TUC,0.96,34.51,2
Puerto San José,Estación Central de Autobús extraurbano cerca de Puerto San José - Ref 776,EXTRAURBANO,12.98,38.28,42
Playa Tilapa,Estación Central de Lancha colectiva cerca de Playa Tilapa - Ref 777,LANCHA,1.72,6.33,6
Fuentes Georginas,Estación Central de Microbús / Fletero cerca de Fuentes Georginas - Ref 778,FLETERO,9.12,23.99,37
Centro Histórico de Quetzaltenango,Estación Central de Shuttle turístico cerca de Centro Histórico de Quetzaltenango - Ref 779,SHUTTLE,6.03,36.26,27
Volcán Tajumulco,Estación Central de Taxi local cerca de Volcán Tajumulco - Ref 780,TAXI,2.88,38.42,9
Laguna Brava,Estación Central de Tuc-tuc cerca de Laguna Brava - Ref 781,TUC_TUC,2.44,44.97,12
Cenotes de Candelaria,Estación Central de Autobús extraurbano cerca de Cenotes de Candelaria - Ref 782,EXTRAURBANO,8.08,17.9,28
Todos Santos Cuchumatán,Estación Central de Lancha colectiva cerca de Todos Santos Cuchumatán - Ref 783,LANCHA,10.55,9.41,34
Nebaj,Estación Central de Microbús / Fletero cerca de Nebaj - Ref 784,FLETERO,5.52,47.37,16
Museo Nacional de Arqueología y Etnología,Estación Central de Shuttle turístico cerca de Museo Nacional de Arqueología y Etnología - Ref 785,SHUTTLE,5.18,10.43,20
Kaminaljuyú,Estación Central de Taxi local cerca de Kaminaljuyú - Ref 786,TAXI,1.59,17.93,5
Zoológico La Aurora,Estación Central de Tuc-tuc cerca de Zoológico La Aurora - Ref 787,TUC_TUC,2.36,32.58,10
Centro Histórico de la Ciudad de Guatemala,Estación Central de Autobús extraurbano cerca de Centro Histórico de la Ciudad de Guatemala - Ref 788,EXTRAURBANO,9.43,25.83,28
Mixco Viejo,Estación Central de Lancha colectiva cerca de Mixco Viejo - Ref 789,LANCHA,14.81,10.56,72
Volcán Acatenango,Estación Central de Microbús / Fletero cerca de Volcán Acatenango - Ref 790,FLETERO,12.12,35.84,52
Volcán de Agua,Estación Central de Shuttle turístico cerca de Volcán de Agua - Ref 791,SHUTTLE,4.45,6.13,16
Hobbitenango,Estación Central de Taxi local cerca de Hobbitenango - Ref 792,TAXI,8.49,21.03,27
Museo Miraflores,Estación Central de Tuc-tuc cerca de Museo Miraflores - Ref 793,TUC_TUC,1.08,26.6,3
Reserva de Biosfera Sierra de las Minas,Estación Central de Autobús extraurbano cerca de Reserva de Biosfera Sierra de las Minas - Ref 794,EXTRAURBANO,0.58,17.05,2
Museo de Paleontología y Arqueología de Estanzuela,Estación Central de Lancha colectiva cerca de Museo de Paleontología y Arqueología de Estanzuela - Ref 795,LANCHA,2.52,36.19,11
Volcán y Laguna de Ipala,Estación Central de Microbús / Fletero cerca de Volcán y Laguna de Ipala - Ref 796,FLETERO,5.98,32.41,21
Lago de Güija,Estación Central de Shuttle turístico cerca de Lago de Güija - Ref 797,SHUTTLE,1.59,42.66,6
Volcán Suchitán,Estación Central de Taxi local cerca de Volcán Suchitán - Ref 798,TAXI,6.36,43.74,16
Playa Blanca,Estación Central de Tuc-tuc cerca de Playa Blanca - Ref 799,TUC_TUC,3.94,16.5,12
Laguna Lachuá,Estación Central de Autobús extraurbano cerca de Laguna Lachuá - Ref 800,EXTRAURBANO,2.22,14.57,10
Antigua Guatemala,Estación Central de Lancha colectiva cerca de Antigua Guatemala - Ref 801,LANCHA,8.13,31.39,20
Parque Nacional Tikal,Estación Central de Microbús / Fletero cerca de Parque Nacional Tikal - Ref 802,FLETERO,9.49,16.36,31
Parque Nacional Yaxhá-Nakum-Naranjo,Estación Central de Shuttle turístico cerca de Parque Nacional Yaxhá-Nakum-Naranjo - Ref 803,SHUTTLE,4.87,35.33,13
Sitio arqueológico El Mirador,Estación Central de Taxi local cerca de Sitio arqueológico El Mirador - Ref 804,TAXI,5.24,33.94,22
Uaxactún,Estación Central de Tuc-tuc cerca de Uaxactún - Ref 805,TUC_TUC,4.31,47.51,15
Lago de Atitlán,Estación Central de Autobús extraurbano cerca de Lago de Atitlán - Ref 806,EXTRAURBANO,4.77,23.2,23
Panajachel,Estación Central de Lancha colectiva cerca de Panajachel - Ref 807,LANCHA,8.51,45.49,22
San Juan La Laguna,Estación Central de Microbús / Fletero cerca de San Juan La Laguna - Ref 808,FLETERO,11.06,19.62,36
Chichicastenango,Estación Central de Shuttle turístico cerca de Chichicastenango - Ref 809,SHUTTLE,3.39,13.0,8
Iximché,Estación Central de Taxi local cerca de Iximché - Ref 810,TAXI,2.64,38.95,10
Parque Arqueológico Quiriguá,Estación Central de Tuc-tuc cerca de Parque Arqueológico Quiriguá - Ref 811,TUC_TUC,13.99,14.2,68
Río Dulce,Estación Central de Autobús extraurbano cerca de Río Dulce - Ref 812,EXTRAURBANO,7.05,7.23,23
Castillo de San Felipe de Lara,Estación Central de Lancha colectiva cerca de Castillo de San Felipe de Lara - Ref 813,LANCHA,10.06,34.3,28
Livingston,Estación Central de Microbús / Fletero cerca de Livingston - Ref 814,FLETERO,2.27,49.8,8
Semuc Champey,Estación Central de Shuttle turístico cerca de Semuc Champey - Ref 815,SHUTTLE,7.55,41.3,35
Cuevas de Candelaria,Estación Central de Taxi local cerca de Cuevas de Candelaria - Ref 816,TAXI,6.04,18.95,27
Biotopo del Quetzal Mario Dary Rivera,Estación Central de Tuc-tuc cerca de Biotopo del Quetzal Mario Dary Rivera - Ref 817,TUC_TUC,5.97,37.09,26
Cobán,Estación Central de Autobús extraurbano cerca de Cobán - Ref 818,EXTRAURBANO,2.25,17.26,8
Esquipulas,Estación Central de Lancha colectiva cerca de Esquipulas - Ref 819,LANCHA,13.9,34.1,65
Basílica del Cristo Negro de Esquipulas,Estación Central de Microbús / Fletero cerca de Basílica del Cristo Negro de Esquipulas - Ref 820,FLETERO,9.74,32.8,28
Volcán de Pacaya,Estación Central de Shuttle turístico cerca de Volcán de Pacaya - Ref 821,SHUTTLE,9.86,44.85,35
Monterrico,Estación Central de Taxi local cerca de Monterrico - Ref 822,TAXI,3.75,21.01,9
Parque Nacional Sipacate-Naranjo,Estación Central de Tuc-tuc cerca de Parque Nacional Sipacate-Naranjo - Ref 823,TUC_TUC,4.13,17.48,10
Parque Arqueológico Nacional Tak’alik Ab’aj,Estación Central de Autobús extraurbano cerca de Parque Arqueológico Nacional Tak’alik Ab’aj - Ref 824,EXTRAURBANO,0.5,28.08,2
Parques Xetulul y Xocomil,Estación Central de Lancha colectiva cerca de Parques Xetulul y Xocomil - Ref 825,LANCHA,2.5,10.66,7
Puerto San José,Estación Central de Microbús / Fletero cerca de Puerto San José - Ref 826,FLETERO,4.07,34.54,18
Playa Tilapa,Estación Central de Shuttle turístico cerca de Playa Tilapa - Ref 827,SHUTTLE,7.41,32.8,35
Fuentes Georginas,Estación Central de Taxi local cerca de Fuentes Georginas - Ref 828,TAXI,1.72,42.68,6
Centro Histórico de Quetzaltenango,Estación Central de Tuc-tuc cerca de Centro Histórico de Quetzaltenango - Ref 829,TUC_TUC,1.07,47.63,4
Volcán Tajumulco,Estación Central de Autobús extraurbano cerca de Volcán Tajumulco - Ref 830,EXTRAURBANO,9.42,29.59,40
Laguna Brava,Estación Central de Lancha colectiva cerca de Laguna Brava - Ref 831,LANCHA,12.02,11.14,32
Cenotes de Candelaria,Estación Central de Microbús / Fletero cerca de Cenotes de Candelaria - Ref 832,FLETERO,7.32,27.45,34
Todos Santos Cuchumatán,Estación Central de Shuttle turístico cerca de Todos Santos Cuchumatán - Ref 833,SHUTTLE,8.13,38.27,40
Nebaj,Estación Central de Taxi local cerca de Nebaj - Ref 834,TAXI,5.87,30.77,24
Museo Nacional de Arqueología y Etnología,Estación Central de Tuc-tuc cerca de Museo Nacional de Arqueología y Etnología - Ref 835,TUC_TUC,12.35,19.12,36
Kaminaljuyú,Estación Central de Autobús extraurbano cerca de Kaminaljuyú - Ref 836,EXTRAURBANO,9.26,5.35,31
Zoológico La Aurora,Estación Central de Lancha colectiva cerca de Zoológico La Aurora - Ref 837,LANCHA,4.33,26.89,13
Centro Histórico de la Ciudad de Guatemala,Estación Central de Microbús / Fletero cerca de Centro Histórico de la Ciudad de Guatemala - Ref 838,FLETERO,11.53,27.08,54
Mixco Viejo,Estación Central de Shuttle turístico cerca de Mixco Viejo - Ref 839,SHUTTLE,4.52,6.88,12
Volcán Acatenango,Estación Central de Taxi local cerca de Volcán Acatenango - Ref 840,TAXI,7.71,6.55,27
Volcán de Agua,Estación Central de Tuc-tuc cerca de Volcán de Agua - Ref 841,TUC_TUC,6.78,38.61,31
Hobbitenango,Estación Central de Autobús extraurbano cerca de Hobbitenango - Ref 842,EXTRAURBANO,13.3,17.87,46
Museo Miraflores,Estación Central de Lancha colectiva cerca de Museo Miraflores - Ref 843,LANCHA,3.78,42.53,16
Reserva de Biosfera Sierra de las Minas,Estación Central de Microbús / Fletero cerca de Reserva de Biosfera Sierra de las Minas - Ref 844,FLETERO,11.89,30.58,53
Museo de Paleontología y Arqueología de Estanzuela,Estación Central de Shuttle turístico cerca de Museo de Paleontología y Arqueología de Estanzuela - Ref 845,SHUTTLE,4.52,19.23,13
Volcán y Laguna de Ipala,Estación Central de Taxi local cerca de Volcán y Laguna de Ipala - Ref 846,TAXI,3.34,46.12,9
Lago de Güija,Estación Central de Tuc-tuc cerca de Lago de Güija - Ref 847,TUC_TUC,0.77,26.02,3
Volcán Suchitán,Estación Central de Autobús extraurbano cerca de Volcán Suchitán - Ref 848,EXTRAURBANO,13.04,16.33,54
Playa Blanca,Estación Central de Lancha colectiva cerca de Playa Blanca - Ref 849,LANCHA,12.71,44.11,45
Laguna Lachuá,Estación Central de Microbús / Fletero cerca de Laguna Lachuá - Ref 850,FLETERO,12.28,48.69,60
Antigua Guatemala,Estación Central de Shuttle turístico cerca de Antigua Guatemala - Ref 851,SHUTTLE,5.09,44.78,17
Parque Nacional Tikal,Estación Central de Taxi local cerca de Parque Nacional Tikal - Ref 852,TAXI,6.07,34.05,21
Parque Nacional Yaxhá-Nakum-Naranjo,Estación Central de Tuc-tuc cerca de Parque Nacional Yaxhá-Nakum-Naranjo - Ref 853,TUC_TUC,11.84,26.24,42
Sitio arqueológico El Mirador,Estación Central de Autobús extraurbano cerca de Sitio arqueológico El Mirador - Ref 854,EXTRAURBANO,6.42,19.22,31
Uaxactún,Estación Central de Lancha colectiva cerca de Uaxactún - Ref 855,LANCHA,13.47,22.4,61
Lago de Atitlán,Estación Central de Microbús / Fletero cerca de Lago de Atitlán - Ref 856,FLETERO,10.92,44.53,53
Panajachel,Estación Central de Shuttle turístico cerca de Panajachel - Ref 857,SHUTTLE,12.48,12.95,60
