ruta_transporte_codigo,proveedor_codigo,hora_salida,frecuencia,tarifa_q,duracion_estimada_minutos
RUT_306_11_0989,PROV_GT20_0998,14:15:00,Cada 15 minutos,122.5,159
RUT_307_12_0990,PROV_GT20_0999,15:30:00,Diario,108.82,136
RUT_308_13_0991,PROV_GT20_1000,16:45:00,Cada 30 minutos,61.64,219
RUT_309_14_0992,PROV_GT20_1001,17:00:00,Cada hora,120.17,213
RUT_310_15_0993,PROV_GT21_1002,18:15:00,Lunes a Viernes,64.45,188
RUT_311_16_0994,PROV_GT21_1003,05:30:00,Solo fines de semana,17.22,193
RUT_312_17_0995,PROV_GT21_1004,06:45:00,Cada 15 minutos,5.9,103
RUT_313_18_0996,PROV_GT21_1005,07:00:00,Diario,50.46,151
RUT_314_19_0997,PROV_GT21_1006,08:15:00,Cada 30 minutos,17.36,132
RUT_315_20_0998,PROV_GT21_1007,09:30:00,Cada hora,140.04,131
RUT_316_21_0999,PROV_GT21_1008,10:45:00,Lunes a Viernes,43.08,112
RUT_317_22_1000,PROV_GT22_1009,11:00:00,Solo fines de semana,121.05,26
RUT_318_23_1001,PROV_GT22_1010,12:15:00,Cada 15 minutos,107.22,123
RUT_319_24_1002,PROV_GT22_1011,13:30:00,Diario,137.48,17
RUT_320_25_1003,PROV_GT22_1012,14:45:00,Cada 30 minutos,30.31,155
RUT_321_26_1004,PROV_GT22_1013,15:00:00,Cada hora,138.54,57
RUT_322_27_1005,PROV_GT22_1014,16:15:00,Lunes a Viernes,88.7,153
RUT_323_28_1006,PROV_GT22_1015,17:30:00,Solo fines de semana,52.03,184
RUT_324_29_1007,PROV_GT22_1016,18:45:00,Cada 15 minutos,91.74,187
RUT_325_30_1008,PROV_GT22_1017,05:00:00,Diario,108.73,195
RUT_326_31_1009,PROV_GT22_1018,06:15:00,Cada 30 minutos,120.67,38
RUT_327_32_1010,PROV_GT22_1019,07:30:00,Cada hora,113.8,114
RUT_328_33_1011,PROV_GT01_0000,08:45:00,Lunes a Viernes,63.5,76
RUT_329_34_1012,PROV_GT01_0001,09:00:00,Solo fines de semana,12.57,32
RUT_330_35_1013,PROV_GT01_0002,10:15:00,Cada 15 minutos,31.56,171
RUT_331_36_1014,PROV_GT01_0003,11:30:00,Diario,124.41,45
RUT_332_37_1015,PROV_GT01_0004,12:45:00,Cada 30 minutos,53.8,109
RUT_333_38_1016,PROV_GT01_0005,13:00:00,Cada hora,132.06,73
RUT_334_39_1017,PROV_GT01_0006,14:15:00,Lunes a Viernes,103.03,24
RUT_335_40_1018,PROV_GT01_0007,15:30:00,Solo fines de semana,23.09,230
RUT_336_41_1019,PROV_GT01_0008,16:45:00,Cada 15 minutos,134.03,157
