cooperativa_siglas,tipo_servicio,tasa_interes_anual,monto_maximo_quetzales,requisito_principal
ASO-GT1604-C,Crédito Artesanal,10.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1605-A,Microcrédito Agrícola,10.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1605-B,Remesas Familiares,12.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1605-C,Crédito Artesanal,7.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1606-A,Financiamiento de Equipo,9.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1606-B,Ahorro Plazo Fijo,9.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT1606-C,Crédito Artesanal,13.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1607-A,Microcrédito Agrícola,14.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1607-B,Remesas Familiares,12.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1607-C,Crédito Artesanal,9.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1608-A,Financiamiento de Equipo,10.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1608-B,Ahorro Plazo Fijo,6.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT1608-C,Crédito Artesanal,18.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1609-A,Microcrédito Agrícola,16.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1609-B,Remesas Familiares,16.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1609-C,Crédito Artesanal,17.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1610-A,Financiamiento de Equipo,18.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1610-B,Ahorro Plazo Fijo,6.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT1610-C,Crédito Artesanal,11.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1611-A,Microcrédito Agrícola,7.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1611-B,Remesas Familiares,11.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1611-C,Crédito Artesanal,12.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1612-A,Financiamiento de Equipo,9.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1612-B,Ahorro Plazo Fijo,15.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT1612-C,Crédito Artesanal,14.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1613-A,Microcrédito Agrícola,13.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1613-B,Remesas Familiares,9.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1613-C,Crédito Artesanal,18.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1614-A,Financiamiento de Equipo,11.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1614-B,Ahorro Plazo Fijo,18.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT1614-C,Crédito Artesanal,12.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1615-A,Microcrédito Agrícola,8.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1615-B,Remesas Familiares,8.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1615-C,Crédito Artesanal,10.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1616-A,Financiamiento de Equipo,12.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1616-B,Ahorro Plazo Fijo,15.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT1616-C,Crédito Artesanal,13.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1617-A,Microcrédito Agrícola,17.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1617-B,Remesas Familiares,11.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1617-C,Crédito Artesanal,13.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1701-A,Financiamiento de Equipo,10.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1701-B,Ahorro Plazo Fijo,11.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT1701-C,Crédito Artesanal,17.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1702-A,Microcrédito Agrícola,10.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1702-B,Remesas Familiares,16.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1702-C,Crédito Artesanal,17.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1703-A,Financiamiento de Equipo,17.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1703-B,Ahorro Plazo Fijo,10.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT1703-C,Crédito Artesanal,10.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1704-A,Microcrédito Agrícola,18.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1704-B,Remesas Familiares,14.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1704-C,Crédito Artesanal,13.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1705-A,Financiamiento de Equipo,6.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1705-B,Ahorro Plazo Fijo,10.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT1705-C,Crédito Artesanal,7.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1706-A,Microcrédito Agrícola,10.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1706-B,Remesas Familiares,8.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1706-C,Crédito Artesanal,16.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1707-A,Financiamiento de Equipo,18.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1707-B,Ahorro Plazo Fijo,18.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT1707-C,Crédito Artesanal,10.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1708-A,Microcrédito Agrícola,18.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1708-B,Remesas Familiares,13.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1708-C,Crédito Artesanal,11.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1709-A,Financiamiento de Equipo,7.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1709-B,Ahorro Plazo Fijo,17.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT1709-C,Crédito Artesanal,14.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1710-A,Microcrédito Agrícola,11.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1710-B,Remesas Familiares,15.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1710-C,Crédito Artesanal,13.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1711-A,Financiamiento de Equipo,18.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1711-B,Ahorro Plazo Fijo,16.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT1711-C,Crédito Artesanal,16.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1712-A,Microcrédito Agrícola,18.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1712-B,Remesas Familiares,6.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1712-C,Crédito Artesanal,9.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1713-A,Financiamiento de Equipo,11.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1713-B,Ahorro Plazo Fijo,7.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT1713-C,Crédito Artesanal,9.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1714-A,Microcrédito Agrícola,15.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1714-B,Remesas Familiares,18.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1714-C,Crédito Artesanal,13.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1801-A,Financiamiento de Equipo,17.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1801-B,Ahorro Plazo Fijo,10.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT1801-C,Crédito Artesanal,16.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1802-A,Microcrédito Agrícola,18.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1802-B,Remesas Familiares,9.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1802-C,Crédito Artesanal,12.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1803-A,Financiamiento de Equipo,8.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1803-B,Ahorro Plazo Fijo,12.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT1803-C,Crédito Artesanal,6.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1804-A,Microcrédito Agrícola,14.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1804-B,Remesas Familiares,7.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1804-C,Crédito Artesanal,9.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1805-A,Financiamiento de Equipo,17.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1805-B,Ahorro Plazo Fijo,6.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT1805-C,Crédito Artesanal,15.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1901-A,Microcrédito Agrícola,15.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1901-B,Remesas Familiares,8.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1901-C,Crédito Artesanal,11.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1902-A,Financiamiento de Equipo,15.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1902-B,Ahorro Plazo Fijo,6.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT1902-C,Crédito Artesanal,18.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1903-A,Microcrédito Agrícola,16.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1903-B,Remesas Familiares,7.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1903-C,Crédito Artesanal,17.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1904-A,Financiamiento de Equipo,9.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1904-B,Ahorro Plazo Fijo,10.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT1904-C,Crédito Artesanal,12.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1905-A,Microcrédito Agrícola,12.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1905-B,Remesas Familiares,15.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1905-C,Crédito Artesanal,10.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1906-A,Financiamiento de Equipo,12.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1906-B,Ahorro Plazo Fijo,12.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT1906-C,Crédito Artesanal,6.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1907-A,Microcrédito Agrícola,10.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1907-B,Remesas Familiares,15.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1907-C,Crédito Artesanal,9.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1908-A,Financiamiento de Equipo,15.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1908-B,Ahorro Plazo Fijo,7.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT1908-C,Crédito Artesanal,13.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1909-A,Microcrédito Agrícola,11.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1909-B,Remesas Familiares,16.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1909-C,Crédito Artesanal,17.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1910-A,Financiamiento de Equipo,17.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1910-B,Ahorro Plazo Fijo,17.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT1910-C,Crédito Artesanal,7.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1911-A,Microcrédito Agrícola,14.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1911-B,Remesas Familiares,6.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1911-C,Crédito Artesanal,9.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2001-A,Financiamiento de Equipo,11.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT2001-B,Ahorro Plazo Fijo,6.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT2001-C,Crédito Artesanal,14.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2002-A,Microcrédito Agrícola,10.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT2002-B,Remesas Familiares,16.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT2002-C,Crédito Artesanal,8.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2003-A,Financiamiento de Equipo,15.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT2003-B,Ahorro Plazo Fijo,10.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT2003-C,Crédito Artesanal,14.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2004-A,Microcrédito Agrícola,11.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT2004-B,Remesas Familiares,8.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT2004-C,Crédito Artesanal,11.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2005-A,Financiamiento de Equipo,8.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT2005-B,Ahorro Plazo Fijo,7.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT2005-C,Crédito Artesanal,6.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2006-A,Microcrédito Agrícola,13.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT2006-B,Remesas Familiares,17.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT2006-C,Crédito Artesanal,12.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2007-A,Financiamiento de Equipo,10.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT2007-B,Ahorro Plazo Fijo,14.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT2007-C,Crédito Artesanal,12.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2008-A,Microcrédito Agrícola,11.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT2008-B,Remesas Familiares,18.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT2008-C,Crédito Artesanal,14.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2009-A,Financiamiento de Equipo,6.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT2009-B,Ahorro Plazo Fijo,8.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT2009-C,Crédito Artesanal,9.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2010-A,Microcrédito Agrícola,6.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT2010-B,Remesas Familiares,10.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT2010-C,Crédito Artesanal,17.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2011-A,Financiamiento de Equipo,12.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT2011-B,Ahorro Plazo Fijo,13.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT2011-C,Crédito Artesanal,13.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2101-A,Microcrédito Agrícola,17.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT2101-B,Remesas Familiares,13.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT2101-C,Crédito Artesanal,7.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2102-A,Financiamiento de Equipo,7.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT2102-B,Ahorro Plazo Fijo,7.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT2102-C,Crédito Artesanal,10.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2103-A,Microcrédito Agrícola,8.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT2103-B,Remesas Familiares,15.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT2103-C,Crédito Artesanal,15.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2104-A,Financiamiento de Equipo,14.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT2104-B,Ahorro Plazo Fijo,12.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT2104-C,Crédito Artesanal,9.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2105-A,Microcrédito Agrícola,16.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT2105-B,Remesas Familiares,11.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT2105-C,Crédito Artesanal,10.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2106-A,Financiamiento de Equipo,12.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT2106-B,Ahorro Plazo Fijo,15.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT2106-C,Crédito Artesanal,11.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2107-A,Microcrédito Agrícola,6.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT2107-B,Remesas Familiares,13.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT2107-C,Crédito Artesanal,13.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2201-A,Financiamiento de Equipo,15.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT2201-B,Ahorro Plazo Fijo,11.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT2201-C,Crédito Artesanal,16.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2202-A,Microcrédito Agrícola,11.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT2202-B,Remesas Familiares,9.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT2202-C,Crédito Artesanal,18.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2203-A,Financiamiento de Equipo,11.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT2203-B,Ahorro Plazo Fijo,17.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT2203-C,Crédito Artesanal,14.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2204-A,Microcrédito Agrícola,7.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT2204-B,Remesas Familiares,10.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT2204-C,Crédito Artesanal,9.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2205-A,Financiamiento de Equipo,7.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT2205-B,Ahorro Plazo Fijo,9.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT2205-C,Crédito Artesanal,12.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2206-A,Microcrédito Agrícola,10.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT2206-B,Remesas Familiares,7.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT2206-C,Crédito Artesanal,13.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2207-A,Financiamiento de Equipo,17.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT2207-B,Ahorro Plazo Fijo,16.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT2207-C,Crédito Artesanal,11.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2208-A,Microcrédito Agrícola,11.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT2208-B,Remesas Familiares,13.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT2208-C,Crédito Artesanal,12.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2209-A,Financiamiento de Equipo,10.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT2209-B,Ahorro Plazo Fijo,7.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT2209-C,Crédito Artesanal,18.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2210-A,Microcrédito Agrícola,15.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT2210-B,Remesas Familiares,12.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT2210-C,Crédito Artesanal,7.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2211-A,Financiamiento de Equipo,14.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT2211-B,Ahorro Plazo Fijo,13.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT2211-C,Crédito Artesanal,16.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2212-A,Microcrédito Agrícola,13.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT2212-B,Remesas Familiares,10.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT2212-C,Crédito Artesanal,12.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2213-A,Financiamiento de Equipo,18.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT2213-B,Ahorro Plazo Fijo,10.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT2213-C,Crédito Artesanal,8.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2214-A,Microcrédito Agrícola,9.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT2214-B,Remesas Familiares,10.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT2214-C,Crédito Artesanal,14.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2215-A,Financiamiento de Equipo,6.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT2215-B,Ahorro Plazo Fijo,14.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT2215-C,Crédito Artesanal,12.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2216-A,Microcrédito Agrícola,13.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT2216-B,Remesas Familiares,11.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT2216-C,Crédito Artesanal,15.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT2217-A,Financiamiento de Equipo,18.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT2217-B,Ahorro Plazo Fijo,7.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT2217-C,Crédito Artesanal,8.00,25000.00,Presentación de plan de producción y muestras de tejidos.
