nombre,ente_certificador,descripcion
Certificación Orgánica y de Origen - Reg ASO-GT1508-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Purulhá.
Certificación Orgánica y de Origen - Reg COOP-GT1601-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Cobán R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1601-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Cobán R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1601-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Cobán.
Certificación Orgánica y de Origen - Reg COOP-GT1602-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Santa Cruz Verapaz R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1602-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Santa Cruz Verapaz R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1602-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Santa Cruz Verapaz.
Certificación Orgánica y de Origen - Reg COOP-GT1603-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Cristóbal Verapaz R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1603-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Cristóbal Verapaz R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1603-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Cristóbal Verapaz.
Certificación Orgánica y de Origen - Reg COOP-GT1604-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Tactic R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1604-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Tactic R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1604-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Tactic.
Certificación Orgánica y de Origen - Reg COOP-GT1605-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Tamahú R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1605-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Tamahú R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1605-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Tamahú.
Certificación Orgánica y de Origen - Reg COOP-GT1606-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Tucurú R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1606-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Tucurú R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1606-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Tucurú.
Certificación Orgánica y de Origen - Reg COOP-GT1607-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Panzós R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1607-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Panzós R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1607-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Panzós.
Certificación Orgánica y de Origen - Reg COOP-GT1608-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Senahú R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1608-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Senahú R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1608-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Senahú.
Certificación Orgánica y de Origen - Reg COOP-GT1609-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Pedro Carchá R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1609-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Pedro Carchá R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1609-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Pedro Carchá.
Certificación Orgánica y de Origen - Reg COOP-GT1610-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Juan Chamelco R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1610-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Juan Chamelco R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1610-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Juan Chamelco.
Certificación Orgánica y de Origen - Reg COOP-GT1611-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Lanquín R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1611-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Lanquín R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1611-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Lanquín.
Certificación Orgánica y de Origen - Reg COOP-GT1612-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Cahabón R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1612-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Cahabón R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1612-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Cahabón.
Certificación Orgánica y de Origen - Reg COOP-GT1613-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Chisec R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1613-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Chisec R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1613-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Chisec.
Certificación Orgánica y de Origen - Reg COOP-GT1614-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Chahal R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1614-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Chahal R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1614-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Chahal.
Certificación Orgánica y de Origen - Reg COOP-GT1615-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Fray Bartolomé de Las Casas R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1615-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Fray Bartolomé de Las Casas R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1615-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Fray Bartolomé de Las Casas.
Certificación Orgánica y de Origen - Reg COOP-GT1616-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Santa Catalina La Tinta R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1616-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Santa Catalina La Tinta R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1616-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Santa Catalina La Tinta.
Certificación Orgánica y de Origen - Reg COOP-GT1617-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Raxruhá R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1617-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Raxruhá R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1617-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Raxruhá.
Certificación Orgánica y de Origen - Reg COOP-GT1701-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Flores R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1701-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Flores R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1701-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Flores.
Certificación Orgánica y de Origen - Reg COOP-GT1702-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San José R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1702-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San José R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1702-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San José.
Certificación Orgánica y de Origen - Reg COOP-GT1703-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Benito R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1703-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Benito R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1703-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Benito.
Certificación Orgánica y de Origen - Reg COOP-GT1704-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Andrés R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1704-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Andrés R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1704-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Andrés.
Certificación Orgánica y de Origen - Reg COOP-GT1705-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de La Libertad R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1705-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de La Libertad R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1705-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de La Libertad.
Certificación Orgánica y de Origen - Reg COOP-GT1706-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Francisco R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1706-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Francisco R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1706-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Francisco.
Certificación Orgánica y de Origen - Reg COOP-GT1707-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Santa Ana R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1707-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Santa Ana R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1707-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Santa Ana.
Certificación Orgánica y de Origen - Reg COOP-GT1708-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Dolores R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1708-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Dolores R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1708-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Dolores.
Certificación Orgánica y de Origen - Reg COOP-GT1709-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Luis R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1709-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Luis R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1709-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Luis.
Certificación Orgánica y de Origen - Reg COOP-GT1710-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Sayaxché R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1710-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Sayaxché R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1710-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Sayaxché.
Certificación Orgánica y de Origen - Reg COOP-GT1711-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Melchor de Mencos R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1711-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Melchor de Mencos R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1711-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Melchor de Mencos.
Certificación Orgánica y de Origen - Reg COOP-GT1712-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Poptún R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1712-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Poptún R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1712-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Poptún.
Certificación Orgánica y de Origen - Reg COOP-GT1713-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Las Cruces R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1713-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Las Cruces R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1713-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Las Cruces.
Certificación Orgánica y de Origen - Reg COOP-GT1714-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de El Chal R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1714-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de El Chal R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1714-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de El Chal.
Certificación Orgánica y de Origen - Reg COOP-GT1801-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Puerto Barrios R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1801-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Puerto Barrios R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1801-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Puerto Barrios.
Certificación Orgánica y de Origen - Reg COOP-GT1802-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Lívingston R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1802-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Lívingston R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1802-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Lívingston.
Certificación Orgánica y de Origen - Reg COOP-GT1803-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de El Estor R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1803-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de El Estor R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1803-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de El Estor.
Certificación Orgánica y de Origen - Reg COOP-GT1804-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Morales R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1804-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Morales R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1804-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Morales.
Certificación Orgánica y de Origen - Reg COOP-GT1805-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Los Amates R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1805-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Los Amates R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1805-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Los Amates.
Certificación Orgánica y de Origen - Reg COOP-GT1901-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Zacapa R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1901-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Zacapa R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1901-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Zacapa.
Certificación Orgánica y de Origen - Reg COOP-GT1902-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Estanzuela R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1902-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Estanzuela R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1902-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Estanzuela.
Certificación Orgánica y de Origen - Reg COOP-GT1903-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Río Hondo R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1903-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Río Hondo R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1903-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Río Hondo.
Certificación Orgánica y de Origen - Reg COOP-GT1904-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Gualán R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1904-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Gualán R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1904-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Gualán.
Certificación Orgánica y de Origen - Reg COOP-GT1905-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Teculután R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1905-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Teculután R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1905-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Teculután.
Certificación Orgánica y de Origen - Reg COOP-GT1906-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Usumatlán R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1906-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Usumatlán R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1906-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Usumatlán.
Certificación Orgánica y de Origen - Reg COOP-GT1907-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Cabañas R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1907-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Cabañas R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1907-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Cabañas.
Certificación Orgánica y de Origen - Reg COOP-GT1908-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Diego R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1908-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Diego R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1908-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Diego.
Certificación Orgánica y de Origen - Reg COOP-GT1909-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de La Unión R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1909-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de La Unión R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1909-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de La Unión.
Certificación Orgánica y de Origen - Reg COOP-GT1910-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Huité R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1910-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Huité R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1910-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Huité.
Certificación Orgánica y de Origen - Reg COOP-GT1911-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Jorge R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1911-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Jorge R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1911-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Jorge.
Certificación Orgánica y de Origen - Reg COOP-GT2001-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Chiquimula R.L..
